19575;0.22460800;0.97451700
39150;0.80838800;0.79983800
58725;1.28097700;0.65164000
78300;1.10356400;0.58000000
97875;1.65009600;0.83297700
117450;1.50903800;1.06605800
137025;1.51703300;0.95795600
156600;2.04207900;1.06592100
176175;1.91888500;0.78279100
195750;2.50904800;0.85792800
215325;2.18572800;0.74123600
234900;3.27733600;0.40780400
254475;3.98353400;0.68338900
274050;2.95927600;1.19956600
293625;3.21039200;0.54113300
313200;3.46745900;0.56615200
332775;4.40238000;0.88282500
352350;2.97069500;0.89127200
371925;4.81903400;0.56608600
391500;4.68446100;1.08436100
411075;3.90025000;0.63364300
430650;4.38614800;0.57440500
450225;4.70248600;1.09923500
469800;4.98915100;0.97448900
489375;5.22691000;3.17497600
508950;2.85405600;2.76679100
528525;4.65163200;4.44126700
548100;2.09360100;5.27506200
567675;2.47730300;6.16747000
587250;2.04169800;5.70030700
606825;3.50942100;5.41014900
626400;1.71683900;6.42670600
645975;1.22524000;7.45085100
665550;1.69304300;7.35739400
685125;1.98481100;6.82543500
704700;2.09118100;6.38410100
724275;1.88313100;5.98387600
743850;1.79132700;6.41787200
763425;1.84091100;6.89279900
783000;1.81632800;7.20021800
802575;1.79144700;6.17113000
822150;0.35783000;8.29183700
841725;1.29563100;6.27611800
861300;1.35745100;6.49218400
880875;0.91644400;7.33293200
900450;0.37460800;7.41738700
920025;0.47447700;8.69065600
939600;0.26127300;7.42429000
959175;0.28307200;7.64288600
978750;0.61639400;8.73404800
